,,,Rat target sites,,Mouse target sites,
Anthranilic acid,118-92-3,-,-,-,-,-
Aroclor 1254 *,11097-69-1,-,-a,-a,.,.
l-Ascorbic acid *,50-81-7,-,-,-,-,-
"Aspirin, phenacetin, and caffeine *",8003-03-0,-,-,-,-,-
5-Azacytidine *,320-67-2,+,I,I,I,"-a, u"
"Azide, sodium *",26628-22-8,+,-,-,.,.
Azinphosmethyl,86-50-0,+,-a,-,-,-
Azobenzene *,103-33-3,+,spl vsc,spl,-,-
AZT *,30516-87-1,+,.,.,-e,vag
Barium chloride dihydrate,10326-27-9,-,-,-,-,-
Benzaldehyde,100-52-7,-,-,-,stos,stos
Benzene *,71-43-2,-,ezy orc ski,ezy orc sto,ezy hag hmo lun pre,ezy hmo lun mgl ova
Benzofuran,271-89-6,-,-,kids,liv lun sto,liv lun sto
Benzoin,119-53-9,-,-,-,-,-
1H-Benzotriazole,95-14-7,+,-a,-a,-,-a
Benzyl acetate *,140-11-4,-,-e,-,livs stos,livs stos
Benzyl alcohol,100-51-6,-,-,-,-,-
o-Benzyl-p-chlorophenol,120-32-1,-,-,-e,kids,-
2-Biphenylamine.HCl,2185-92-4,+,-,-,-a,vsc
"2,2-Bis(bromomethyl)-1,3-propanediol, technical grade *",3296-90-0,+,eso ezy hmo lgi lun mgl orc per ski smi sto sub tes thy ubl,eso mgl orc thy,hag kid lun,hag lun ski sub
"Bis(2-chloro-1-methylethyl)ether, technical grade",108-60-1,+,-,-,liv lun,lun
Bisphenol A,80-05-7,-,-,-,-,-
C.I. direct black 38 *,1937-37-7,+,liv,liv,.,.
C.I. direct blue 6,2602-46-2,+,liv,liv,.,.
C.I. direct blue 15,2429-74-5,+,ezy lgi liv orc pre ski smi,cli ezy hmo lgi liv orc ski smi ute,.,.
C.I. direct blue 218,28407-37-6,-,orcs,-,liv,liv
C.I. disperse blue 1,2475-45-8,+,ubl,ubl,-e,-
HC blue no. 1 *,2784-94-3,+,-e,luns,liv thy,liv
HC blue no. 2,33229-34-4,+,-,-,-,-
Boric acid,10043-35-3,-,.,.,-,-
Bromodichloromethane *,75-27-4,+,kid lgi,kid lgi,kid,liv
Bromoethane,74-96-4,+,adrs luns nrvs,-e,-e,ute
C.I. direct brown 95,16071-86-6,+,-,liv,.,.
"1,3-Butadiene *",106-99-0,+,.,.,hag hmo kid liv lun nrv pre sto vsc,hag hmo liv lun mgl ova sto vsc
2-Butoxyethanol,111-76-2,-,-,-e,vscs,stos
tert-Butyl alcohol,75-65-0,-,kids,-,-e,thys
Butyl benzyl phthalate,85-68-7,-,pans,"-a, u",-,-
n-Butyl chloride,109-69-3,-,-,-,-,-
Butylated hydroxytoluene *,128-37-0,-,-,-,-,-
tert-Butylhydroquinone,1948-33-0,-,.,.,-,-
g-Butyrolactone,96-48-0,-,-,-,-e,-
Caprolactam,105-60-2,-,-,-,-,-
Captan *,133-06-2,+,-,-,"-a, u","-a, u"
Carbromal,77-65-6,-,-,-,-,-
d-Carvone,2244-16-8,-,.,.,-,-
Chloral hydrate *,302-17-0,+,-,.,livs,-e
Chloramben,133-90-4,+,-,-,-a,liv
Chloraminated water,---,.,-,-e,-,-
"Chlordane, technical grade *",57-74-9,-,-,-,liv,liv
Chlorendic acid,115-28-6,-,liv pan,liv,liv,-
"Chlorinated paraffins (C12, 60% chlorine)",63449-39-8,-,kid liv,liv thy,liv,liv thy
"Chlorinated paraffins (C23, 43% chlorine)",63449-39-8,-,-,-e,hmo,-
Chlorinated trisodium phosphate,56802-99-4,+,.,.,-,-
Chlorinated water *,---,.,-,-e,-,-
"3-Chloro-2-methylpropene, technical grade (containing 5% dimethylvinyl chloride)",563-47-3,+,sto,sto,sto,sto
4-Chloro-m-phenylenediamine,5131-60-2,+,adr,-,-,liv
4-Chloro-o-phenylenediamine,95-83-0,+,sto ubl,sto ubl,liv,liv
2-Chloro-p-phenylenediamine sulfate,61702-44-1,+,-,-,-,-
"1-Chloro-2-propanol, technical grade (~75% 1-chloro-2-propanol; ~25% 2-chloro-1-propanol)",127-00-4,+,-,-,-,-
3-Chloro-p-toluidine,95-74-9,-,-,-,-,-
5-Chloro-o-toluidine,95-79-4,-,-,-,liv vsc,liv vsc
4-Chloro-o-toluidine.HCl *,3165-93-3,-,-,-,vsc,vsc
2-Chloroacetophenone,532-27-4,-,-,-e,-,-
4´-(Chloroacetyl)-acetanilide,140-49-8,+,-,-,-,-a
p-Chloroaniline,106-47-8,+,-a,-,-a,-a
p-Chloroaniline.HCl,20265-96-7,+,spl,-e,livs vscs,-
o-Chlorobenzalmalonitrile,2698-41-1,+,-,-,-,-
Chlorobenzene,108-90-7,-,livs,-,-,-
Chlorobenzilate *,510-15-6,-,-,-,liv,liv
Chlorodibromomethane,124-48-1,-,-,-,-e,livs
Chloroethane,75-00-3,+,-e,-e,I,ute
(2-Chloroethyl)trimethylammonium chloride *,999-81-5,-,-,-,-,-
Chloroform *,67-66-3,-,kid,-,liv,liv
2-(Chloromethyl)pyridine.HCl,6959-47-3,+,-,-,-,-
3-(Chloromethyl)pyridine.HCl,6959-48-4,+,sto,-,sto,sto
"3-(p-Chlorophenyl)-1,1-dimethylurea *",150-68-5,-,kid liv,-,-,-
Chloropicrin,76-06-2,+,I,I,-,-
Chloroprene,126-99-8,-,kid lun orc thy,kid mgl orc thy,hag kid lun sto vsc,ezy hag liv lun mgl per ski sto vsc
Chlorothalonil,1897-45-6,-,kid,kid,-,-
Chlorpheniramine maleate *,113-92-8,-,-,-,-,-
Chlorpropamide,94-20-2,-,-,-,-,-
trans-Cinnamaldehyde,14371-10-9,-,-,-,-,-
Cinnamyl anthranilate,87-29-6,-,kid pan,-,liv,liv
Citral,5392-40-5,-,-,-,-,-e
Clonitralid,1420-04-8,.,-,-,I,-
Cobalt sulfate heptahydrate,10026-24-1,+,luns,adr lun,lun,lun
Codeine,76-57-3,-,-,-,-,-
Coumaphos,56-72-4,-,-,-,-,-
Coumarin *,91-64-5,+,kids,-e,luns,liv lun
m-Cresidine,102-50-1,+,ubl,ubl,I,-
p-Cresidine,120-71-8,+,liv nas ubl,nas ubl,ubl,liv ubl
Cupferron,135-20-6,+,liv sto vsc,ezy liv sto vsc,vsc,ezy hag liv vsc
"Cyanamide, calcium *",156-62-7,+,-,-,-,-
Cytembena,16170-75-5,+,per,mgl,-,-
Daminozide *,1596-84-5,-,-,ute,-a,-
Dapsone,80-08-0,-,per spl,-,-,-
"p,p´-DDD *",72-54-8,-,-a,-,-,-
"p,p´-DDE *",72-55-9,-,-,-,liv,liv
DDT *,50-29-3,-,-,-,-,-
Decabromodiphenyl oxide,1163-19-5,-,livs,livs,-e,-
Diallyl phthalate,131-17-9,-,-,-e,-e,-a
"4,4´-Diamino-2,2´-stilbenedisulfonic acid, disodium salt",7336-20-1,-,-,-,-,-
"2,4-Diaminoanisole sulfate *",39156-41-7,+,ezy pre ski thy,ezy thy,thy,thy
"2,4-Diaminophenol.2HCl",137-09-7,+,-,-,kids,-
"2,4-Diaminotoluene",95-80-7,+,liv,liv mgl,-,liv
"2,6-Diaminotoluene.2HCl",15481-70-6,+,-,-,-,-
"2,5-Diaminotoluene sulfate",6369-59-1,+,-,-,-,-
Diazinon,333-41-5,-,-,-,-,-
Dibenzo-p-dioxin,262-12-4,-,-,-,-,-
"1,2-Dibromo-3-chloropropane",96-12-8,+,nas orc sto,adr mgl nas orc sto,lun nas sto,lun nas sto
"1,2-Dibromoethane *",106-93-4,+,nas per pit sto vsc,liv lun mgl nas pit sto vsc,lun sto vsc,lun mgl nas sto sub vsc
Dibutyltin diacetate,1067-33-0,-,-,I,-,-
"2,6-Dichloro-p-phenylenediamine",609-20-1,+,-,-,liv,liv
"1,2-Dichlorobenzene",95-50-1,-,-,-,-,-
"1,4-Dichlorobenzene *",106-46-7,-,kid,-,liv,liv
"2,7-Dichlorodibenzo-p-dioxin",33857-26-0,-,-,-,-a,-
"p,p´-Dichlorodiphenyl sulfone",80-07-9,-,-,-,-,-
"1,1-Dichloroethane",75-34-3,-,-,-a,-,-a
"1,2-Dichloroethane *",107-06-2,+,sto sub vsc,mgl,lun,lun mgl ute
"2,4-Dichlorophenol",120-83-2,-,-,-,-,-
"1,2-Dichloropropane",78-87-5,+,-,-e,livs,livs
Dichlorvos *,62-73-7,+,hmos pans,-e,stos,sto
Dicofol,115-32-2,-,-,-,liv,-
"N,N´-Dicyclohexylthiourea",1212-29-9,-,-,-,-,-
Dieldrin *,60-57-1,-,-,-,-a,-
"Dieldrin, photo-",13366-73-9,+,-,-,-,-
"N,N´-Diethylthiourea *",105-55-5,-,thy,thy,-,-
"Diglycidyl resorcinol ether, technical grade",101-90-6,+,sto,sto,sto,sto
"3,4-Dihydrocoumarin",119-84-6,-,kids,-,-,livs
Dimethoate *,60-51-5,+,-,-,-,-
"Dimethoxane, commercial grade",828-00-2,+,-,-,-e,-
"2,4-Dimethoxyaniline.HCl",54150-69-5,+,-,-,-,-
"3,3´-Dimethoxybenzidine-4,4´-diisocyanate",91-93-0,+,hmo ski,hmo ute,-,-
"3,3´-Dimethoxybenzidine.2HCl *",20325-40-0,+,ezy hmo lgi liv orc pre ski smi,cli ezy lgi liv mgl orc ski ute,.,.
Dimethyl hydrogen phosphite,868-85-9,+,lun sto,-e,-,-
Dimethyl methylphosphonate,756-79-6,-,kids,-,I,-
Dimethyl morpholinophosphoramidate,597-25-1,-,hmos,hmos,-,-
Dimethyl terephthalate,120-61-6,-,-,-,-,-
"N,N-Dimethylaniline",121-69-7,-,bons,-,-,-e
"3,3´-Dimethylbenzidine.2HCl *",612-82-8,+,ezy lgi liv lun orc per pre ski smi,cli ezy lgi liv lun mgl orc ski smi,.,.
Dimethylvinyl chloride,513-37-1,+,eso nas orc ski sto,eso nas orc sto,pre sto,sto
"2,4-Dinitrotoluene, practical grade",121-14-2,+,"-a, u","-a, u",-,-
"1,4-Dioxane *",123-91-1,-,nas,liv nas,liv,liv
Dioxathion,78-34-2,+,-,-,-,-
Diphenhydramine.HCl *,147-24-0,-,-e,-e,-,-
"5,5-Diphenylhydantoin *",57-41-0,-,-e,-,-,liv
"2,5-Dithiobiurea",142-46-1,-,-,-,-,-a
"EDTA, trisodium salt trihydrate",150-38-9,-,-,-,-,-
Elmiron,37319-17-8,-,-,-,vscs,liv vscs
Emetine.2HCl,316-42-7,-,I,I,I,I
Emodin,518-82-1,+,-,-e,-e,-
Endosulfan *,115-29-7,-,I,-,I,-
Endrin *,72-20-8,-,-,-,-,-
Ephedrine sulphate,134-72-5,-,-,-,-,-
l-Epinephrine.HCl,55-31-2,-,I,I,I,I
"1,2-Epoxybutane",106-88-7,+,lun nas,-e,-,-
Erythromycin stearate,643-22-1,-,-,-,-,-
Estradiol mustard,22966-79-6,.,-,-,hmo lun myc sto,hmo lun myc sto
Ethionamide *,536-33-4,-,-,-,-,-
Ethyl acrylate *,140-88-5,-,sto,sto,sto,sto
"p,p´-Ethyl-DDD *",72-56-0,+,-,-,-,-a
Ethyl tellurac *,20941-65-5,-,-a,-,-a,-
Ethylbenzene *,100-41-4,-,kid tes,kids,luns,livs
Ethylene glycol,107-21-1,-,.,.,-,-
Ethylene oxide *,75-21-8,+,.,.,hag lun,hag hmos lun mgls utes
Ethylene thiourea *,96-45-7,+,thy,thy,liv pit thy,liv pit thy
di(2-Ethylhexyl)adipate,103-23-1,-,-,-,liv,liv
di(2-Ethylhexyl)phthalate *,117-81-7,-,liv,liv,liv,liv
Eugenol *,97-53-0,-,-,-,-e,-e
"Fenaminosulf, formulated",140-56-7,+,-,-,-,-
Fenthion,55-38-9,-,-,-,-a,-
Fluometuron,2164-17-2,-,-,-,-a,-
"Fluoride, sodium *",7681-49-4,-,-e,-,-,-
Fumonisin B1 *,116355-83-0,-,kid,-,-,liv
Furan,110-00-9,-,hmo liv,hmo liv,adr liv,adr liv
Furfural *,98-01-1,+,livs,-,liv,livs
Furfuryl alcohol,98-00-0,-,nass,-e,kids,-
Furosemide,54-31-9,-,-e,-,-,mgls
"Geranyl acetate, food grade (71% geranyl acetate, 29% citronellyl acetate)",mixture,-,-e,-,-,-
Glutaraldehyde,111-30-8,+,-,-,-,-
Glycidol *,556-52-5,+,ezy lgi mgl nrv per ski sto thy,cli hmo mgl nrv orc sto thy,hag liv lun ski sto,hag mgl ski sub ute
Guar gum,9000-30-0,-,-,-,-,-
Gum arabic,2591766,-,-,-,-,-
HCDD mixture,mixture,.,-,liv,liv,liv
Heptachlor *,76-44-8,-,-,-,liv,liv
"g-1,2,3,4,5,6-Hexachlorocyclohexane *",58-89-9,-,-,-,-,-
Hexachlorocyclopentadiene,77-47-4,-,-,-,-,-
Hexachloroethane,67-72-1,-,kid,-,liv,liv
Hexachlorophene *,70-30-4,-,-,-,.,.
"2,4-Hexadienal (89% trans,trans-, 11% cis,trans-)",142-83-6,+,sto,sto,sto,sto
4-Hexylresorcinol,136-77-6,-,-,-,-e,-
Hydrazobenzene,122-66-7,+,ezy liv,liv mgl,-,liv
Hydrochlorothiazide *,58-93-5,-,-,-,-e,-
Hydroquinone *,123-31-9,-,kids,hmos,-,livs
8-Hydroxyquinoline *,148-24-3,+,-,-,-,-
ICRF-159,21416-87-5,.,-,ute,-,hmo
"3,3´-Iminobis-1-propanol dimethanesulfonate(ester).HCl",3458-22-8,.,-a,-a,-,-
Iodinated glycerol,5634-39-9,+,hmos thys,-,-,hags pits
Iodoform,75-47-8,+,-,-,-,-
Isobutene,115-11-7,-,thys,-,-,-
Isobutyl nitrite,542-56-3,+,lun,lun,luns,luns
Isobutyraldehyde,78-84-2,-,-,-,-,-
Isophorone,78-59-1,-,kids pres,-,-e,-
Isophosphamide,3778-73-2,+,-,ute,-,hmo
Isoprene *,78-79-5,-,kid mgl tes,mgls,hag liv lun sto,.
Kepone *,143-50-0,-,-,liv,liv,liv
Lasiocarpine *,303-34-4,+,liv vsc,hmo liv vsc,.,.
Lead dimethyldithiocarbamate *,19010-66-3,+,-,-,-,-
d-Limonene,5989-27-5,-,kid,-,-,-
Lithocholic acid,434-13-9,-,-,-,-,-
Locust bean gum,9000-40-2,-,-,-,-,-
Malaoxon,1634-78-2,-,-,-,-,-
Malathion,121-75-5,-,-,-,-,-
"Malonaldehyde, sodium salt *",24382-04-5,-,pan thy,thy,-,-
Manganese (II) sulfate monohydrate,10034-96-5,-,-,-,-e,-e
d-Mannitol,69-65-8,-,-,-,-,-
Melamine,108-78-1,-,ubl,-,-,-
dl-Menthol,15356-70-4,-,-,-,-,-
2-Mercaptobenzothiazole *,149-30-4,-,adrs hmos pans pres,adrs pits,-,-e
Mercuric chloride *,7487-94-7,-,stos,-e,-e,-
Methacrylonitrile,126-98-7,-,-,-,-,-
Methoxychlor *,72-43-5,-,-,-,-,-
8-Methoxypsoralen *,298-81-7,+,ezy kid,-,.,.
Methyl bromide *,74-83-9,+,.,.,-,-
Methyl carbamate,598-55-0,-,liv,liv,-,-
Methyl methacrylate,80-62-6,-,-,-,-,-
2-Methyl-1-nitroanthraquinone,129-15-7,+,liv,liv,vsc,vsc
Methyl parathion,298-00-0,+,-,-,-,-
a-Methylbenzyl alcohol,98-85-1,-,kids,-,-,-
a-Methyldopa sesquihydrate,41372-08-1,-,-,-,-e,-
Methylene chloride *,75-09-2,+,mgls,mgl,liv lun,liv lun
"4,4´-Methylenebis(N,N-dimethyl) benzenamine",101-61-1,+,thy,thy,-,liv
"4,4´-Methylenedianiline.2HCl",13552-44-8,+,liv thy,thy,adr liv thy,hmo liv thy
Methyleugenol,93-15-2,-,kid liv mgl per sto sub,liv sto,liv stos,liv
2-Methylimidazole,693-98-1,-,thys,thy,livs thys,livs
N-Methylolacrylamide,924-42-5,-,-,-,hag liv lun,hag liv lun ova
Methylphenidate.HCl,298-59-9,-,-,-,livs,livs
Mexacarbate *,315-18-4,.,-,-,-,-
Michler's ketone,90-94-8,+,liv,liv,vsc,liv
Mirex *,2385-85-5,-,adr kid liv,hmo liv,.,.
Molybdenum trioxide,1313-27-5,-,-e,-,luns,luns
Monochloroacetic acid *,79-11-8,-,-,-,-,-
Nalidixic acid *,389-08-2,-,pre,cli,-e,-
Naphthalene,91-20-3,-,nas,nas,-,luns
"1,5-Naphthalenediamine",2243-62-1,+,-,cli ute,thy,liv lun thy
N-(1-Naphthyl)ethylenediamine.2HCl,1465-25-4,+,-,-,-,-
Nickel (II) sulfate hexahydrate,10101-97-0,-,-,-,-,-
Nithiazide,139-94-6,+,-,mgl,liv,-
Nitrilotriacetic acid *,139-13-9,-,kid,kid ubl,kid,kid
"Nitrilotriacetic acid, trisodium salt, monohydrate *",18662-53-8,-,kid,kid ubl,-,-
"Nitrite, sodium *",7632-00-0,+,-,-,-,-e
3-Nitro-p-acetophenetide,1777-84-0,+,-,-,liv,-
5-Nitro-o-anisidine,99-59-2,+,ezy ski,cli ski,-,liv
5-Nitro-2-furaldehyde semicarbazone *,59-87-0,+,-e,mgl,-,ova
3-Nitro-4-hydroxyphenylarsonic acid *,121-19-7,-,-e,-,-,-
2-Nitro-p-phenylenediamine,5307-14-2,+,-,-,-,liv
4-Nitro-o-phenylenediamine,99-56-9,+,-,-,-,-
5-Nitro-o-toluidine,99-55-8,+,-,-,liv vsc,liv vsc
5-Nitroacenaphthene *,602-87-9,+,ezy lun,cli ezy lun mgl,-,liv ova
p-Nitroaniline *,100-01-6,+,.,.,-e,-
o-Nitroanisole,91-23-6,+,hmos kid lgi ubl,hmos kid lgi ubl,liv,livs
4-Nitroanthranilic acid,619-17-0,+,-,-,-,-
6-Nitrobenzimidazole,94-52-0,+,-,-,liv,liv
p-Nitrobenzoic acid,62-23-7,+,-,clis,-,-
Nitrofen,1836-75-5,+,-,pan,liv vsc,liv
1-[(5-Nitrofurfurylidene)amino]hydantoin *,67-20-9,+,kids,-,-,ova
Nitromethane *,75-52-5,-,-,mgl,hag luns,hag liv luns
1-Nitronaphthalene,86-57-7,+,-,-,-,-
3-Nitropropionic acid,504-88-1,+,-a,-,-,-
N-Nitrosodiphenylamine *,86-30-6,-,ubl,ubl,-,-
p-Nitrosodiphenylamine,156-10-5,+,liv,-,liv,-
o-Nitrotoluene,88-72-2,-,liv luns mgl per ski sub,livs mgl sub,lgi vsc,lgi liv vsc
p-Nitrotoluene,99-99-0,-,-e,clis,-e,-
Ochratoxin A *,303-47-9,-,kid,kid mgl,.,.
"Oil, corn",8001-30-7,-,pan ´,.,.,.
"Oil, safflower",8001-23-8,-,pan ´,.,.,.
C.I. acid orange 3,6373-74-6,+,-,kid,-,-
C.I. acid orange 10,1936-15-8,-,-,-,-,-
Oxazepam,604-75-1,-,-e,-,liv,liv thys
"4,4´-Oxydianiline",101-80-4,+,liv thy,liv thy,hag liv,hag liv thy
Oxytetracycline.HCl,2058-46-0,-,-e,-e,-,-
Ozone *,10028-15-6,+,-,-,-e,luns
Oxymetholone,434-07-1,-,-e,liv lun ski,.,.
Parathion,56-38-2,-,-a,-a,-,-
Penicillin VK,132-98-9,-,-,-,-,-
Pentachloroanisole,1825-21-4,+,adrs,-e,adrs vscs,-
Pentachloroethane,76-01-7,-,-a,-,liv,liv
Pentachloronitrobenzene *,82-68-8,-,-,-,-,-
"2,3,4,5,6-Pentachlorophenol *",87-86-5,-,nass pers,-,.,.
"2,3,4,5,6-Pentachlorophenol (Dowicide EC-7) *",87-86-5,-,.,.,adr liv,adr liv vsc
"2,3,4,5,6-Pentachlorophenol, technical grade *",87-86-5,-,.,.,adr liv,livs vscs
Pentaerythritol tetranitrate with 80% d-lactose monohydrate,78-11-5,-,-e,-e,-,-
Phenazopyridine.HCl,136-40-3,-,lgi,lgi,-,liv
Phenesterin,600010,-,-,mgl,hmo lun myc,hmo lun myc
Phenformin.HCl,834-28-6,-,-,-,-,-
Phenol,108-95-2,-,-,-,-,-
Phenolphthalein,77-09-8,-,adr kid,adrs,hmo,hmo ova
Phenoxybenzamine.HCl,63-92-3,+,per,per,per,per
1-Phenyl-3-methyl-5-pyrazolone,89-25-8,-,-,-,-,-
Phenyl-b-naphthylamine *,135-88-6,-,-,-,-,-e
N-Phenyl-p-phenylenediamine.HCl,2198-59-6,-,-,-,-,-
1-Phenyl-2-thiourea,103-85-5,-,-,-,-,-
1-Phenylazo-2-naphthol *,842-07-9,+,liv,liv,-,-
Phenylbutazone *,50-33-9,-,-e,kids,livs,-
p-Phenylenediamine.2HCl,624-18-0,+,-,-,-,-
Phenylephrine.HCl,61-76-7,-,-,-,-,-
Phosphamidon,13171-21-6,+,I,I,-,-
Phthalamide,88-96-0,-,-,-,-,-
Phthalic anhydride,85-44-9,-,-,-,-,-
"Picloram, technical grade *",5145,-,-,-a,-,-
Piperonyl butoxide *,51-03-6,-,-,-,-,-
Piperonyl sulfoxide *,120-62-7,-,-,-,liv,-
Pivalolactone,1955-45-9,+,sto,sto,-,-
Polybrominated biphenyl mixture,67774-32-7,.,liv,liv,liv,liv
Polysorbate 80,9005-65-6,-,-e,-,-,-
Primidone,125-33-7,+,-e,-,liv thys,liv
Probenecid,57-66-9,-,-,-,-,livs
Procarbazine.HCl *,366-70-1,-,hmo mgl nrv,hmo mgl nrv,hmo lun nrv,hmo lun nrv ute
Proflavine.HCl hemihydrate,952-23-8,+,I,I,I,I
Promethazine.HCl,58-33-3,-,-,-,-,-
Propyl gallate *,121-79-9,-,-,-,-,-
Propylene *,115-07-1,+,-,-,-,-
Propylene glycol mono-t-butyl ether,57018-52-7,+,-e,-,liv,liv
"1,2-Propylene oxide *",75-56-9,+,nass,nass,nas,nas
Pyrazinamide,98-96-4,-,-,-,-,I
Pyridine,110-86-1,-,kids,-e,liv,liv
Pyrimethamine,58-14-0,-,-,-,I,-
Quercetin *,117-39-5,+,kids,-,.,.
p-Quinone dioxime,105-11-3,+,-,ubl,-,-
C.I. acid red 114,6459-94-5,+,ezy liv ski,cli ezy lgi liv lun orc ski smi,.,.
C.I. food red 3 *,3567-69-9,+,-,-,-,-
C.I. pigment red 3,2425-85-6,+,adrs,livs,kids thys,-
C.I. pigment red 23,6471-49-4,+,-e,-,-,-
D & C red no. 9 *,1189261,+,liv spl,-a,-,-
HC red no. 3,353194,+,-,-,-e,I
Reserpine *,50-55-5,-,adr,-,tes,mgl
Resorcinol,108-46-3,-,-,-,-,-
Rhodamine 6G,989-38-8,-,-e,-e,-,-
Riddelliine,23246-96-0,+,hmos liv vsc,hmos liv vsc,vsc,lun
p-Rosaniline.HCl *,569-61-9,+,ezy liv ski sub thy,ezy sub thy,liv,adr liv
Rotenone *,83-79-4,-,-e,-,-,-
Salicylazosulfapyridine,599-79-1,-,ubls,kids ubls,liv,liv
Scopolamine hydrobromide trihydrate,6533-68-2,-,-,-,-,-
Selenium sulfide,7446-34-6,+,liv,liv,-,liv lun
Sodium diethyldithiocarbamate trihydrate *,148-18-5,-,-,-,-,-
Stoddard solvent IIC,64742-88-7,-,adrs,-,-,-e
Styrene *,100-42-5,+,-,-,-a,-
Styrene and b-nitrostyrene mixture,mixture,.,-,-,-,-
Succinic anhydride,108-30-5,-,-,-,-,-
Sulfallate,95-06-7,+,sto,mgl,lun,mgl
Sulfisoxazole,127-69-5,-,-,-,-,-
3-Sulfolene,77-79-2,-,-,-,-,-
Tara gum,39300-88-4,-,-,-,-,-
"Telone II, technical grade (with 1% epichlorohydrin)",542-75-6,+,liv sto,stos,I,lun sto ubl
"2,3,5,6-Tetrachloro-4-nitroanisole",2438-88-2,-,-,-,-,-
"2,3,7,8-Tetrachlorodibenzo-p-dioxin *",1746-01-6,-,thy,liv,liv,liv thy
"1,1,1,2-Tetrachloroethane",630-20-6,-,-,-,liv,liv
"1,1,2,2-Tetrachloroethane",79-34-5,-,-,-,liv,liv
Tetrachloroethylene,127-18-4,-,hmo kid,hmos,liv,liv
Tetrachlorvinphos *,961-11-5,-,-,"-a, u",liv,"-a, u"
Tetracycline.HCl,64-75-5,-,-,-,-,-
Tetraethylthiuram disulfide *,97-77-8,-,-,-,-,-
Tetrafluoroethylene,116-14-3,.,kid liv,hmo kid liv vsc,hmo liv vsc,hmo liv vsc
1-trans-D9-Tetrahydrocannabinol,25052,-,-,-,-e,-e
Tetrahydrofuran,109-99-9,-,kids,-,-,liv
Tetrakis(hydroxymethyl)phosphonium chloride,124-64-1,-,-,-,-,-
Tetrakis(hydroxymethyl)phosphonium sulfate,55566-30-8,-,-,-,-,-
Tetranitromethane,509-14-8,+,lun,lun,lun,lun
Theophylline,58-55-9,-,-,-,-,-
Thio-tepa *,52-24-4,+,ezy hmo ski,ezy,hmo pre ski,hmo
"4,4´-Thiobis(6-tert-butyl-m-cresol)",96-69-5,-,-,-,-,-
"4,4´-Thiodianiline *",139-65-1,+,ezy lgi liv thy,ezy thy ute,liv thy,liv thy
b-Thioguanine deoxyriboside,789-61-7,.,-a,ezy,I,I
Tin (II) chloride *,7772-99-8,-,-,-,-,-
Titanium dioxide,13463-67-7,-,-,-,-,-
Titanocene dichloride,1271-19-8,+,-e,-e,.,.
Tolazamide,1156-19-0,-,-,-,-,-
Tolbutamide,64-77-7,-,-,-,-,-
Toluene *,108-88-3,-,-,-,-,-
"Toluene diisocyanate, commercial grade (2,4 (80%)- and 2,6",26471-62-5,+,pan sub,liv mgl pan sub,-,liv vsc
(20%)-) *,,,,,,
o-Toluidine.HCl *,636-21-5,+,per spl sub vsc,bon mgl ubl vsc,vsc,liv
Toxaphene *,8001-35-2,+,-a,-a,liv,liv
Triamterene,396-01-0,-,-e,-,livs,livs
Tribromomethane,75-25-2,+,lgis,lgi,-,-
Tricaprylin,538-23-8,+,pan,.,.,.
"1,1,2-Trichloroethane",79-00-5,-,-,-,adr liv,adr liv
"1,1,1-Trichloroethane, technical grade *",71-55-6,+,I,I,I,I
Trichloroethylene *,79-01-6,-,-,-,liv,liv
